meta_subject|Subject: 
meta_from|From: "D.Michael Gioffre  DDS" <dgioffre@hotmail.com>
meta_date|Date: Tue, 14 Mar 2000 13:58:00 -0800
meta_to|To: "benjamin rogers"
end-of-meta|
end-of-meta|
body_greeting|Hey
body_greeting|
body_content|whats going on?
body_content|
body_content|I am heading to DC this weekend with Verrechio, introducing him to a friend
body_content|of the girl i am dating.  should i kiss my relationship goodbye now, or wait
body_content|for verrechio to do that for me????
body_content|
body_content|Gioffre-
body_content|
body_content|
body_content|______________________________________________________
body_content|Get Your Private, Free Email at http://www.hotmail.com
